	acousticness	analysis_url	danceability	duration_ms	energy	id	instrumentalness	key	liveness	loudness	mode	speechiness	tempo	time_signature	track_href	type	uri	valence	like?
30	0.983	https://api.spotify.com/v1/audio-analysis/1gWPkS4xum4XbSt1ueNpUu	0.41	214467	0.139	1gWPkS4xum4XbSt1ueNpUu	0.0309	5	0.105	-16.723	1	0.0305	92.968	4	https://api.spotify.com/v1/tracks/1gWPkS4xum4XbSt1ueNpUu	audio_features	spotify:track:1gWPkS4xum4XbSt1ueNpUu	0.232	yes
31	0.889	https://api.spotify.com/v1/audio-analysis/6tqzOYuE3lrNVPDgtF3MjM	0.401	253013	0.535	6tqzOYuE3lrNVPDgtF3MjM	0.00667	0	0.116	-11.09	1	0.0407	146.515	4	https://api.spotify.com/v1/tracks/6tqzOYuE3lrNVPDgtF3MjM	audio_features	spotify:track:6tqzOYuE3lrNVPDgtF3MjM	0.436	yes
32	0.441	https://api.spotify.com/v1/audio-analysis/1T3YF2ebcf4UiIth7y2llV	0.632	216827	0.763	1T3YF2ebcf4UiIth7y2llV	0.00119	9	0.108	-7.376	1	0.0383	134.062	4	https://api.spotify.com/v1/tracks/1T3YF2ebcf4UiIth7y2llV	audio_features	spotify:track:1T3YF2ebcf4UiIth7y2llV	0.676	yes
33	0.657	https://api.spotify.com/v1/audio-analysis/4PUAjhaBoC6yRSztUuRxsm	0.528	300000	0.92	4PUAjhaBoC6yRSztUuRxsm	0.786	1	0.157	-6.949	1	0.0314	89.01	3	https://api.spotify.com/v1/tracks/4PUAjhaBoC6yRSztUuRxsm	audio_features	spotify:track:4PUAjhaBoC6yRSztUuRxsm	0.748	yes
34	0.137	https://api.spotify.com/v1/audio-analysis/4i1MWIchrtBoSh6wcAdt7e	0.7	221840	0.786	4i1MWIchrtBoSh6wcAdt7e	0.0	8	0.0949	-4.867	1	0.0277	96.003	4	https://api.spotify.com/v1/tracks/4i1MWIchrtBoSh6wcAdt7e	audio_features	spotify:track:4i1MWIchrtBoSh6wcAdt7e	0.721	yes
35	0.48	https://api.spotify.com/v1/audio-analysis/0kQp2ltuALC1hZdMFfemUW	0.554	356347	0.628	0kQp2ltuALC1hZdMFfemUW	0.0225	1	0.0576	-5.625	1	0.0408	122.989	4	https://api.spotify.com/v1/tracks/0kQp2ltuALC1hZdMFfemUW	audio_features	spotify:track:0kQp2ltuALC1hZdMFfemUW	0.251	yes
36	0.267	https://api.spotify.com/v1/audio-analysis/3ovvj9KmpYh8ymM43PkLGb	0.744	190920	0.561	3ovvj9KmpYh8ymM43PkLGb	0.0691	5	0.0439	-9.926	1	0.0518	167.269	4	https://api.spotify.com/v1/tracks/3ovvj9KmpYh8ymM43PkLGb	audio_features	spotify:track:3ovvj9KmpYh8ymM43PkLGb	0.91	yes
37	0.147	https://api.spotify.com/v1/audio-analysis/2iyoXHUqtsTXG4GM2R1k5w	0.526	258347	0.625	2iyoXHUqtsTXG4GM2R1k5w	0.182	0	0.139	-8.094	1	0.0461	157.102	4	https://api.spotify.com/v1/tracks/2iyoXHUqtsTXG4GM2R1k5w	audio_features	spotify:track:2iyoXHUqtsTXG4GM2R1k5w	0.366	yes
38	0.0134	https://api.spotify.com/v1/audio-analysis/4QhWbupniDd44EDtnh2bFJ	0.405	592920	0.647	4QhWbupniDd44EDtnh2bFJ	7.62e-05	5	0.819	-6.109	0	0.0482	131.952	4	https://api.spotify.com/v1/tracks/4QhWbupniDd44EDtnh2bFJ	audio_features	spotify:track:4QhWbupniDd44EDtnh2bFJ	0.196	yes
39	0.0815	https://api.spotify.com/v1/audio-analysis/6eOtQgxFRlL8NbFl0mKhv1	0.25	271880	0.942	6eOtQgxFRlL8NbFl0mKhv1	0.00097	6	0.367	-3.235	1	0.0545	161.333	4	https://api.spotify.com/v1/tracks/6eOtQgxFRlL8NbFl0mKhv1	audio_features	spotify:track:6eOtQgxFRlL8NbFl0mKhv1	0.822	yes
